@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
0,100,0.556,0.135,0.02,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.135,0.02,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.135,0.02,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.135,0.082,1.0,0,0.024,0.22,0.077,0
0,100,0.556,0.135,0.082,0.451,0,0.015,0.062,0.161,0
0,100,0.556,0.135,0.082,0.313,0,0.021,0.061,0.164,0
0,100,0.556,0.135,0.082,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.135,0.082,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.135,0.082,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.135,0.082,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.135,0.082,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.135,0.204,1.0,0,0.015,0.173,0.204,0
0,100,0.556,0.135,0.204,0.451,0,0.013,0.056,0.257,0
0,100,0.556,0.135,0.204,0.313,0,0.021,0.059,0.183,0
0,100,0.556,0.135,0.204,0.129,0,0.034,0.056,0.107,0
0,100,0.556,0.135,0.204,0.089,0,0.021,0.021,0.036,0
0,100,0.556,0.135,0.204,0.048,0,0.024,0.024,0.036,0
0,100,0.556,0.135,0.204,0.041,0,0.025,0.025,0.036,0
0,100,0.556,0.135,0.204,0.0,0,0.035,0.035,0.036,0
0,100,0.556,0.135,0.612,1.0,0,0.019,0.147,0.102,0
0,100,0.556,0.135,0.612,0.451,0,0.013,0.057,0.263,0
0,100,0.556,0.135,0.612,0.313,0,0.021,0.059,0.183,0
