@RELATION eval  
   
@ATTRIBUTE Type  {A, B, C, D} 
@ATTRIBUTE Size  {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
A, 100, 0, 0.04, 0.20, 0.45, 136.33, 0.06, 0.15, 0.07, 0
A, 100, 0, 0.04, 0.20, 0.31, 106.00, 0.04, 0.13, 0.11, 0
A, 100, 0, 0.04, 0.20, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.04, 0.20, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.04, 0.20, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.20, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.20, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.04, 0.61, 1.00, 140.00, 0.27, 0.35, 0.00, 0
A, 100, 0, 0.04, 0.61, 0.45, 136.33, 0.06, 0.16, 0.07, 0
A, 100, 0, 0.04, 0.61, 0.31, 106.00, 0.04, 0.13, 0.11, 0
A, 100, 0, 0.04, 0.61, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.04, 0.61, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.04, 0.61, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.61, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 0.61, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.04, 1.02, 1.00, 140.00, 0.27, 0.35, 0.00, 0
