@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA
0,100,0.0,0.025,0.184,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.025,0.592,1.0,0,0.191,0.284,0.0,0
0,100,0.0,0.025,0.592,0.451,0,0.031,0.118,0.181,0
0,100,0.0,0.025,0.592,0.313,0,0.034,0.132,0.156,0
0,100,0.0,0.025,0.592,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.025,0.592,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.025,0.592,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.025,0.592,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.025,0.592,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.025,1.0,1.0,0,0.192,0.289,0.0,0
0,100,0.0,0.025,1.0,0.451,0,0.031,0.118,0.181,0
0,100,0.0,0.025,1.0,0.313,0,0.034,0.132,0.156,0
0,100,0.0,0.025,1.0,0.129,0,0.03,0.051,0.122,0
0,100,0.0,0.025,1.0,0.089,0,0.034,0.055,0.022,0
0,100,0.0,0.025,1.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.025,1.0,0.041,0,0.045,0.045,0.0,0
0,100,0.0,0.025,1.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.05,0.0,1.0,0,0.078,0.315,0.024,0
0,100,0.0,0.05,0.0,0.451,0,0.065,0.213,0.028,0
0,100,0.0,0.05,0.0,0.313,0,0.055,0.174,0.018,0
0,100,0.0,0.05,0.0,0.129,0,0.035,0.055,0.044,0
0,100,0.0,0.05,0.0,0.089,0,0.035,0.055,0.022,0
0,100,0.0,0.05,0.0,0.048,0,0.046,0.046,0.0,0
0,100,0.0,0.05,0.0,0.041,0,0.046,0.046,0.0,0
0,100,0.0,0.05,0.0,0.0,0,0.057,0.056,0.0,0
0,100,0.0,0.05,0.061,1.0,0,0.056,0.283,0.101,0
0,100,0.0,0.05,0.061,0.451,0,0.033,0.141,0.215,0
